ID,session,run,Align,BOLD,CompCor,Corr,Final,Norm,SDC,SurfRecon,T1mask,Variance,modality,dummy_trs,fd_perc,gcor,gsr_x,gsr_y,aor,aqi,dvars_nstd,tsnr,fd_mean,spacing_tr
1,1,1,,,,,,,,,,,rest,,24.914,0.137,0.034,0.028,0.13,,,128.573,0.295,
1,1,2,,,,,,,,,,,rest,,29.344,0.147,0.025,0.049,0.24,0.73,1.276,190.1,0.104,2.913
1,1,3,,,,,,,,,,,rest,4.0,23.884,0.185,0.033,0.011,0.353,0.525,1.077,285.332,0.318,1.99
1,2,1,,,,,,bad,,good,good,,,,,,,,,,,,,
1,2,2,,,,,,bad,,good,good,other,,,,,,,,,,,,
1,2,3,other,other,,,good,bad,good,good,good,,,,,,,,,,,,,
1,2,4,,bad,other,,,bad,,good,good,,,,,,,,,,,,,
1,2,5,,,,bad,,bad,,good,good,,,,,,,,,,,,,
1,2,6,,,good,other,,bad,,good,good,,,,,,,,,,,,,
2,1,1,,,,,,,,,,,rest,3.0,9.132,0.103,0.041,0.018,,0.708,1.295,245.801,0.331,1.611
2,1,2,,,,,,,,,,,rest,5.0,,0.124,0.04,0.032,0.331,0.547,1.166,185.508,,1.662
2,1,3,,,,,,,,,,,rest,7.0,9.031,0.286,0.022,,0.237,0.409,1.092,276.656,0.197,1.683
2,2,1,,,,,,good,,other,other,,,,,,,,,,,,,
2,2,2,,,,other,,good,,other,other,good,,,,,,,,,,,,
2,2,3,,other,good,,bad,good,other,other,other,good,,,,,,,,,,,,
2,2,4,good,bad,bad,,bad,good,good,other,other,other,,,,,,,,,,,,
2,2,5,good,,good,,good,good,,other,other,,,,,,,,,,,,,
3,1,1,,,,,,,,,,,rest,,11.735,0.149,0.023,0.031,,0.482,1.48,292.489,0.176,2.246
3,1,2,,,,,,,,,,,rest,6.0,29.641,0.148,0.013,0.025,0.173,0.702,1.129,296.685,0.22,
3,1,3,,,,,,,,,,,rest,4.0,28.513,0.18,0.044,0.037,0.321,0.405,1.179,239.157,0.169,1.762
3,2,1,,,,,,other,,other,good,,,,,,,,,,,,,
3,2,2,bad,bad,,bad,,other,,other,good,good,,,,,,,,,,,,
3,2,3,bad,bad,,,,other,,other,good,,,,,,,,,,,,,
3,2,4,,other,,,other,other,good,other,good,,,,,,,,,,,,,
3,2,5,,,,,bad,other,good,other,good,,,,,,,,,,,,,
4,1,1,,,,,,,,,,,rest,3.0,,0.181,0.036,0.013,0.148,0.749,1.225,101.839,0.13,2.495
4,1,2,,,,,,,,,,,rest,3.0,26.231,0.232,0.032,0.03,0.291,0.425,1.213,295.779,,2.859
4,1,3,,,,,,,,,,,rest,5.0,16.749,0.156,0.04,0.048,0.199,0.576,,296.066,0.123,1.959
5,1,1,,,,,,,,,,,rest,4.0,11.354,0.159,0.04,0.038,0.311,0.48,1.006,261.872,0.343,
5,1,2,,,,,,,,,,,rest,3.0,19.457,0.107,0.016,0.049,0.352,0.73,0.975,107.767,0.191,2.306
5,1,3,,,,,,,,,,,rest,5.0,29.238,0.243,0.042,0.021,0.232,0.339,0.818,292.53,0.351,2.544
