ID,Variable,Value,mean_value,subject_variable,row_number
1,aor,-1.623,0.255,1_aor,1
1,aor,-0.196,0.255,1_aor,2
1,aor,1.265,0.255,1_aor,3
1,aor,,0.255,1_aor,4
1,aor,,0.255,1_aor,5
1,aor,,0.255,1_aor,6
1,aor,,0.255,1_aor,7
1,aor,,0.255,1_aor,8
1,aor,,0.255,1_aor,9
2,aor,,0.255,2_aor,10
2,aor,0.987,0.255,2_aor,11
2,aor,-0.236,0.255,2_aor,12
2,aor,,0.255,2_aor,13
2,aor,,0.255,2_aor,14
2,aor,,0.255,2_aor,15
2,aor,,0.255,2_aor,16
2,aor,,0.255,2_aor,17
3,aor,,0.255,3_aor,18
3,aor,-1.07,0.255,3_aor,19
3,aor,0.848,0.255,3_aor,20
3,aor,,0.255,3_aor,21
3,aor,,0.255,3_aor,22
3,aor,,0.255,3_aor,23
3,aor,,0.255,3_aor,24
3,aor,,0.255,3_aor,25
4,aor,-1.383,0.255,4_aor,26
4,aor,0.464,0.255,4_aor,27
4,aor,-0.725,0.255,4_aor,28
5,aor,0.721,0.255,5_aor,29
5,aor,1.252,0.255,5_aor,30
5,aor,-0.304,0.255,5_aor,31
1,aqi,,0.558,1_aqi,32
1,aqi,1.211,0.558,1_aqi,33
1,aqi,-0.23,0.558,1_aqi,34
1,aqi,,0.558,1_aqi,35
1,aqi,,0.558,1_aqi,36
1,aqi,,0.558,1_aqi,37
1,aqi,,0.558,1_aqi,38
1,aqi,,0.558,1_aqi,39
1,aqi,,0.558,1_aqi,40
2,aqi,1.054,0.558,2_aqi,41
2,aqi,-0.075,0.558,2_aqi,42
2,aqi,-1.042,0.558,2_aqi,43
2,aqi,,0.558,2_aqi,44
2,aqi,,0.558,2_aqi,45
2,aqi,,0.558,2_aqi,46
2,aqi,,0.558,2_aqi,47
2,aqi,,0.558,2_aqi,48
3,aqi,-0.532,0.558,3_aqi,49
3,aqi,1.011,0.558,3_aqi,50
3,aqi,-1.075,0.558,3_aqi,51
3,aqi,,0.558,3_aqi,52
3,aqi,,0.558,3_aqi,53
3,aqi,,0.558,3_aqi,54
3,aqi,,0.558,3_aqi,55
3,aqi,,0.558,3_aqi,56
4,aqi,1.346,0.558,4_aqi,57
4,aqi,-0.93,0.558,4_aqi,58
4,aqi,0.132,0.558,4_aqi,59
5,aqi,-0.547,0.558,5_aqi,60
5,aqi,1.212,0.558,5_aqi,61
5,aqi,-1.534,0.558,5_aqi,62
1,dvars_nstd,,1.148,1_dvars_nstd,63
1,dvars_nstd,0.773,1.148,1_dvars_nstd,64
1,dvars_nstd,-0.435,1.148,1_dvars_nstd,65
1,dvars_nstd,,1.148,1_dvars_nstd,66
1,dvars_nstd,,1.148,1_dvars_nstd,67
1,dvars_nstd,,1.148,1_dvars_nstd,68
1,dvars_nstd,,1.148,1_dvars_nstd,69
1,dvars_nstd,,1.148,1_dvars_nstd,70
1,dvars_nstd,,1.148,1_dvars_nstd,71
2,dvars_nstd,0.886,1.148,2_dvars_nstd,72
2,dvars_nstd,0.106,1.148,2_dvars_nstd,73
2,dvars_nstd,-0.344,1.148,2_dvars_nstd,74
2,dvars_nstd,,1.148,2_dvars_nstd,75
2,dvars_nstd,,1.148,2_dvars_nstd,76
2,dvars_nstd,,1.148,2_dvars_nstd,77
2,dvars_nstd,,1.148,2_dvars_nstd,78
2,dvars_nstd,,1.148,2_dvars_nstd,79
3,dvars_nstd,2.008,1.148,3_dvars_nstd,80
3,dvars_nstd,-0.116,1.148,3_dvars_nstd,81
3,dvars_nstd,0.185,1.148,3_dvars_nstd,82
3,dvars_nstd,,1.148,3_dvars_nstd,83
3,dvars_nstd,,1.148,3_dvars_nstd,84
3,dvars_nstd,,1.148,3_dvars_nstd,85
3,dvars_nstd,,1.148,3_dvars_nstd,86
3,dvars_nstd,,1.148,3_dvars_nstd,87
4,dvars_nstd,0.46,1.148,4_dvars_nstd,88
4,dvars_nstd,0.39,1.148,4_dvars_nstd,89
4,dvars_nstd,,1.148,4_dvars_nstd,90
5,dvars_nstd,-0.865,1.148,5_dvars_nstd,91
5,dvars_nstd,-1.048,1.148,5_dvars_nstd,92
5,dvars_nstd,-2.001,1.148,5_dvars_nstd,93
1,fd_mean,0.765,0.227,1_fd_mean,94
1,fd_mean,-1.37,0.227,1_fd_mean,95
1,fd_mean,1.021,0.227,1_fd_mean,96
1,fd_mean,,0.227,1_fd_mean,97
1,fd_mean,,0.227,1_fd_mean,98
1,fd_mean,,0.227,1_fd_mean,99
1,fd_mean,,0.227,1_fd_mean,100
1,fd_mean,,0.227,1_fd_mean,101
1,fd_mean,,0.227,1_fd_mean,102
2,fd_mean,1.168,0.227,2_fd_mean,103
2,fd_mean,,0.227,2_fd_mean,104
2,fd_mean,-0.329,0.227,2_fd_mean,105
2,fd_mean,,0.227,2_fd_mean,106
2,fd_mean,,0.227,2_fd_mean,107
2,fd_mean,,0.227,2_fd_mean,108
2,fd_mean,,0.227,2_fd_mean,109
2,fd_mean,,0.227,2_fd_mean,110
3,fd_mean,-0.572,0.227,3_fd_mean,111
3,fd_mean,-0.079,0.227,3_fd_mean,112
3,fd_mean,-0.649,0.227,3_fd_mean,113
3,fd_mean,,0.227,3_fd_mean,114
3,fd_mean,,0.227,3_fd_mean,115
3,fd_mean,,0.227,3_fd_mean,116
3,fd_mean,,0.227,3_fd_mean,117
3,fd_mean,,0.227,3_fd_mean,118
4,fd_mean,-1.075,0.227,4_fd_mean,119
4,fd_mean,,0.227,4_fd_mean,120
4,fd_mean,-1.162,0.227,4_fd_mean,121
5,fd_mean,1.298,0.227,5_fd_mean,122
5,fd_mean,-0.399,0.227,5_fd_mean,123
5,fd_mean,1.385,0.227,5_fd_mean,124
1,fd_perc,0.514,20.709,1_fd_perc,125
1,fd_perc,1.056,20.709,1_fd_perc,126
1,fd_perc,0.388,20.709,1_fd_perc,127
1,fd_perc,,20.709,1_fd_perc,128
1,fd_perc,,20.709,1_fd_perc,129
1,fd_perc,,20.709,1_fd_perc,130
1,fd_perc,,20.709,1_fd_perc,131
1,fd_perc,,20.709,1_fd_perc,132
1,fd_perc,,20.709,1_fd_perc,133
2,fd_perc,-1.416,20.709,2_fd_perc,134
