ID,session,run,Align,BOLD,CompCor,Corr,Final,Norm,SDC,SurfRecon,T1mask,Variance,modality,dummy_trs,fd_perc,gcor,gsr_x,gsr_y,aor,aqi,dvars_nstd,tsnr,fd_mean,spacing_tr
1,1,1,other,bad,bad,good,good,good,nan,bad,bad,bad,rest,3,18.16635319256157,0.3075793759734147,0.04486840145296819,0.014708867394382477,0.3926867054910268,0.6805698509951765,1.3502450136938675,110.74727184213101,0.2576350782634485,2.056197036348872
1,1,2,other,good,good,good,good,good,good,good,bad,good,rest,6,15.63577904389605,0.34120940731847094,0.05465605606610988,0.048919174853688095,0.1583916123555903,0.533360501863517,0.8306626360510602,117.02947809621148,0.3390671336348591,2.617143233861726
2,1,1,bad,bad,bad,bad,good,good,good,nan,bad,good,rest,3,26.007953060067475,0.14370999241461233,0.05161299006976005,0.05023821787484009,0.21624351370905237,0.44416405196512204,1.277746852782483,113.54059606623436,0.1699678708662879,1.5110434046265082
2,1,2,bad,good,nan,good,good,bad,good,bad,bad,good,rest,7,21.957083194435665,0.2794996572248077,0.04173591600002954,0.037678970032899786,0.2677621482236241,0.4519750490313061,0.8215724841975576,184.81217341576695,0.17510463548683522,2.112792965586954
3,1,1,good,good,bad,good,nan,nan,other,other,bad,good,rest,5,10.009187597231117,0.05681362194015815,0.014502393038782087,0.046117967529822515,0.23856316907541625,0.3806358895168009,1.1507313425723544,116.55490465116043,0.34371213127720757,2.169234413361046
3,1,2,good,good,bad,bad,bad,good,bad,good,bad,nan,rest,7,34.07529132043172,0.28362527118973835,0.04584450945794978,0.03246807510718943,0.18167246855354774,0.34819548107674964,1.4318216775806891,189.38630956006665,0.1708271776783306,1.9589349362259787
4,1,1,good,nan,other,good,bad,nan,good,good,other,good,rest,6,6.248425215856774,0.19819724577335568,0.026493060616639266,0.017226209443302345,0.1310208903167655,0.593822286088856,0.9194150779758203,302.0288284104313,0.3033713988951382,2.0203047068022557
4,1,2,nan,bad,good,bad,bad,bad,nan,other,good,nan,rest,5,19.204682031708614,0.13009269892756808,0.02657844986712761,0.03603362012357689,0.23167343809151403,0.3108060399401652,1.3784043469360505,295.07858524154403,0.14908718114951378,2.331054215308574
5,1,1,nan,good,other,other,bad,other,other,good,good,bad,rest,3,16.12766851587316,0.29893692293972396,0.05041257360321509,0.02585694464113577,0.3858698185209235,0.4454589190700593,1.1605399904622002,141.43162173622466,0.42761524951713714,1.7469117263730272
5,1,2,good,good,other,good,good,bad,other,good,good,nan,rest,5,24.84983789503283,0.16209731866211302,0.014723333403075764,0.0473394805674513,0.17873815477685942,0.7684065752668896,0.9686794025039793,109.46190377875665,0.3908894352437171,1.7299264749367411
6,1,1,good,good,other,good,good,good,bad,other,good,other,rest,3,8.954666533595631,0.25329760208385727,0.016091625231426557,0.03531649658103165,0.308278730692866,0.5905583046104512,0.9398429561620404,272.9898862837431,0.3503924953655305,2.6084760058733125
6,1,2,good,bad,nan,nan,bad,bad,good,good,good,bad,rest,4,5.7457847415876895,0.2165594126980474,0.04169875558405425,0.015294870187537665,0.1421018791191738,0.5095571596581518,1.4763623385002274,223.05021277624948,0.42655812756007394,2.706541373419456
7,1,1,nan,nan,good,good,bad,good,good,other,good,good,rest,6,17.37714707821041,0.16225521302215482,0.03129410431867549,0.04259655127899871,0.36024718952569745,0.5269484410381499,0.9734876940659507,136.79896711941947,0.36110499808520624,2.7248531451358655
7,1,2,good,other,bad,nan,good,good,good,good,good,nan,rest,6,9.608401855761759,0.0846470190996065,0.011057400816822001,0.012769770458213005,0.15239244128075582,0.3266909663135877,1.2138006712776799,243.37148643188152,0.23777065989120988,1.9769866454280742
8,1,1,bad,bad,bad,good,good,good,bad,good,good,bad,rest,3,20.712588461529116,0.08050157087111479,0.05167292768942798,0.012598093323255212,0.37745256070541866,0.34955657078993774,1.390502466118427,296.63675454262807,0.4428497382053074,2.7030388204103906
8,1,2,good,other,other,good,good,good,bad,bad,bad,good,rest,4,12.993899525025382,0.09193052328618706,0.033893863701187285,0.030844468429744247,0.16977098215866213,0.483755905057564,1.0564747148783733,158.5989354590109,0.23281242790442513,2.528615018183918
9,1,1,other,good,other,bad,good,bad,bad,other,good,good,rest,6,13.644668425473851,0.2704679486930872,0.020120229656285918,0.04473990644092491,0.3582157204977683,0.36605141865077195,1.2300658183793438,102.8229795751843,0.35400046989499945,1.6267398282352803
