ID,session,run,Variable,Value,mean_value,subject_variable,row_number
1,1,1,aor,1.648,0.246,1_aor,1
1,1,2,aor,-0.977,0.246,1_aor,2
2,1,1,aor,-0.329,0.246,2_aor,3
2,1,2,aor,0.248,0.246,2_aor,4
3,1,1,aor,-0.079,0.246,3_aor,5
3,1,2,aor,-0.717,0.246,3_aor,6
4,1,1,aor,-1.284,0.246,4_aor,7
4,1,2,aor,-0.156,0.246,4_aor,8
5,1,1,aor,1.571,0.246,5_aor,9
5,1,2,aor,-0.749,0.246,5_aor,10
6,1,1,aor,0.702,0.246,6_aor,11
6,1,2,aor,-1.16,0.246,6_aor,12
7,1,1,aor,1.284,0.246,7_aor,13
7,1,2,aor,-1.045,0.246,7_aor,14
8,1,1,aor,1.477,0.246,8_aor,15
8,1,2,aor,-0.85,0.246,8_aor,16
9,1,1,aor,1.262,0.246,9_aor,17
9,1,2,aor,0.292,0.246,9_aor,18
10,1,1,aor,-1.102,0.246,10_aor,19
10,1,2,aor,-1.59,0.246,10_aor,20
11,1,1,aor,-0.822,0.246,11_aor,21
11,1,2,aor,-0.953,0.246,11_aor,22
12,1,1,aor,1.663,0.246,12_aor,23
12,1,2,aor,-0.193,0.246,12_aor,24
13,1,1,aor,0.473,0.246,13_aor,25
13,1,2,aor,0.865,0.246,13_aor,26
14,1,1,aor,-1.074,0.246,14_aor,27
14,1,2,aor,0.34,0.246,14_aor,28
15,1,1,aor,-0.487,0.246,15_aor,29
15,1,2,aor,0.454,0.246,15_aor,30
16,1,1,aor,0.981,0.246,16_aor,31
16,1,2,aor,0.854,0.246,16_aor,32
17,1,1,aor,1.348,0.246,17_aor,33
17,1,2,aor,-0.953,0.246,17_aor,34
18,1,1,aor,-1.109,0.246,18_aor,35
18,1,2,aor,-1.511,0.246,18_aor,36
19,1,1,aor,-1.628,0.246,19_aor,37
19,1,2,aor,-1.167,0.246,19_aor,38
20,1,1,aor,1.678,0.246,20_aor,39
20,1,2,aor,-1.208,0.246,20_aor,40
21,1,1,aor,-1.571,0.246,21_aor,41
21,1,2,aor,1.359,0.246,21_aor,42
22,1,1,aor,1.278,0.246,22_aor,43
22,1,2,aor,-0.307,0.246,22_aor,44
23,1,1,aor,-1.26,0.246,23_aor,45
23,1,2,aor,1.232,0.246,23_aor,46
24,1,1,aor,1.308,0.246,24_aor,47
24,1,2,aor,0.232,0.246,24_aor,48
25,1,1,aor,1.039,0.246,25_aor,49
25,1,2,aor,-0.082,0.246,25_aor,50
26,1,1,aor,0.257,0.246,26_aor,51
26,1,2,aor,0.613,0.246,26_aor,52
27,1,1,aor,0.419,0.246,27_aor,53
27,1,2,aor,0.536,0.246,27_aor,54
28,1,1,aor,0.451,0.246,28_aor,55
28,1,2,aor,-1.312,0.246,28_aor,56
29,1,1,aor,-1.116,0.246,29_aor,57
29,1,2,aor,0.897,0.246,29_aor,58
30,1,1,aor,1.302,0.246,30_aor,59
30,1,2,aor,-0.722,0.246,30_aor,60
31,1,1,aor,-1.298,0.246,31_aor,61
31,1,2,aor,1.233,0.246,31_aor,62
32,1,1,aor,-0.982,0.246,32_aor,63
32,1,2,aor,-1.314,0.246,32_aor,64
33,1,1,aor,-1.543,0.246,33_aor,65
33,1,2,aor,0.366,0.246,33_aor,66
34,1,1,aor,0.688,0.246,34_aor,67
34,1,2,aor,0.5,0.246,34_aor,68
35,1,1,aor,-0.296,0.246,35_aor,69
35,1,2,aor,1.635,0.246,35_aor,70
36,1,1,aor,-0.837,0.246,36_aor,71
36,1,2,aor,0.959,0.246,36_aor,72
37,1,1,aor,-1.407,0.246,37_aor,73
37,1,2,aor,1.597,0.246,37_aor,74
38,1,1,aor,1.336,0.246,38_aor,75
